scenario,threshold,hold_hours,cost,trend_filter,n,win_rate,avg,median,std,sum
baseline_raw_4h,0.0988,4,0.0008,none,1386,0.4668109668109668,-0.000859168608732794,-0.000790378288242443,0.016412569424739086,-1.1908076917036525
baseline_raw_48h,0.0988,48,0.0008,none,1385,0.49097472924187724,-0.0010346218884588795,-0.0010744593858029497,0.04901893070342039,-1.432951315515548
baseline_flat_only_4h,0.0988,4,0.0008,abs(24h_mom)<=2%,663,0.46304675716440424,-0.00043011981775587454,-0.0010167450285648353,0.013645759208303326,-0.2851694391721448
