threshold,mode,hold_hours,cost,trend_filter_abs_24h,n,win_rate,avg,median,std,sum
0.07,alternating,24,0.0008,0.02,812,0.4839901477832512,0.00015139885433519898,-0.0012597513911203665,0.030661184925550596,0.12293586972018158
0.07,alternating,48,0.0004,none,1677,0.49731663685152055,0.00014430784627610127,-0.00034764068419517146,0.04825249121317784,0.2420042582050218
0.07,alternating,48,0.0004,0.02,812,0.4963054187192118,0.0009445381886087047,-0.0005691664412678539,0.043810186799175074,0.7669650091502682
0.07,alternating,48,0.0006,none,1677,0.49433512224209897,-5.5692153723887164e-05,-0.0005476406841951714,0.04825249121317784,-0.09339574179495877
0.07,alternating,48,0.0006,0.02,812,0.49261083743842365,0.0007445381886087131,-0.0007691664412678539,0.043810186799175074,0.604565009150275
0.07,alternating,48,0.0008,none,1677,0.4937388193202147,-0.0002556921537238959,-0.0007476406841951715,0.04825249121317784,-0.4287957417949734
0.07,alternating,48,0.0008,0.02,812,0.49137931034482757,0.0005445381886087033,-0.0009691664412678539,0.043810186799175074,0.44216500915026713
0.09,raw,1,0.0004,none,1629,0.4714548802946593,-9.918905961808198e-05,-0.0003336628080531808,0.008424120412129454,-0.16157897811785554
0.09,raw,1,0.0004,0.02,770,0.45324675324675323,-0.00024259592050924274,-0.00043758941951081953,0.0073420097149414975,-0.1867988587921169
0.09,raw,1,0.0006,none,1629,0.45610804174340086,-0.0002991890596180743,-0.0005336628080531808,0.008424120412129454,-0.4873789781178431
0.09,raw,1,0.0006,0.02,770,0.43116883116883115,-0.00044259592050923925,-0.0006375894195108195,0.0073420097149414975,-0.34079885879211425
0.09,raw,1,0.0008,none,1629,0.4389195825659914,-0.0004991890596180854,-0.0007336628080531808,0.008424120412129454,-0.813178978117861
0.09,raw,1,0.0008,0.02,770,0.4155844155844156,-0.0006425959205092472,-0.0008375894195108195,0.0073420097149414975,-0.4947988587921204
0.09,raw,4,0.0004,none,1629,0.4886433394720687,-0.0001814004849682,-0.00026690823312174283,0.016176678233478698,-0.2955013900131978
0.09,raw,4,0.0004,0.02,770,0.487012987012987,0.00018864453582542447,-0.00031431666443797434,0.013317594811669662,0.14525629258557685
0.09,raw,4,0.0006,none,1629,0.48066298342541436,-0.00038140048496821115,-0.00046690823312174276,0.016176678233478698,-0.6213013900132159
0.09,raw,4,0.0006,0.02,770,0.4805194805194805,-1.1355464174571706e-05,-0.0005143166644379743,0.013317594811669662,-0.008743707414420213
0.09,raw,4,0.0008,none,1629,0.47268262737876,-0.0005814004849682175,-0.0006669082331217428,0.016176678233478698,-0.9471013900132264
0.09,raw,4,0.0008,0.02,770,0.474025974025974,-0.0002113554641745798,-0.0007143166644379744,0.013317594811669662,-0.16274370741442645
0.09,raw,24,0.0004,none,1628,0.47788697788697787,-0.0005416758228545724,-0.0015125771574492238,0.038635111923960984,-0.8818482396072438
0.09,raw,24,0.0004,0.02,770,0.4584415584415584,-0.0009726677304257997,-0.001940577520206421,0.03259926317634084,-0.7489541524278658
0.09,raw,24,0.0006,none,1628,0.47542997542997545,-0.0007416758228545686,-0.0017125771574492236,0.038635111923960984,-1.2074482396072377
0.09,raw,24,0.0006,0.02,770,0.45584415584415583,-0.0011726677304258015,-0.0021405775202064208,0.03259926317634084,-0.9029541524278671
0.09,raw,24,0.0008,none,1628,0.4735872235872236,-0.0009416758228545715,-0.0019125771574492237,0.038635111923960984,-1.5330482396072425
0.09,raw,24,0.0008,0.02,770,0.45584415584415583,-0.0013726677304258027,-0.002340577520206421,0.03259926317634084,-1.056954152427868
0.09,raw,48,0.0004,none,1628,0.49324324324324326,-0.0009704517550120198,-0.001023909385018273,0.04915541511895974,-1.5798954571595683
0.09,raw,48,0.0004,0.02,770,0.4883116883116883,-0.0007043504716008992,-0.0013855204337499423,0.0446563680548849,-0.5423498631326924
0.09,raw,48,0.0006,none,1628,0.49017199017199015,-0.0011704517550120345,-0.001223909385018273,0.04915541511895974,-1.9054954571595921
0.09,raw,48,0.0006,0.02,770,0.4857142857142857,-0.0009043504716009056,-0.0015855204337499422,0.0446563680548849,-0.6963498631326973
0.09,raw,48,0.0008,none,1628,0.48894348894348894,-0.0013704517550120255,-0.001423909385018273,0.04915541511895974,-2.2310954571595776
0.09,raw,48,0.0008,0.02,770,0.4844155844155844,-0.0011043504716009187,-0.0017855204337499423,0.0446563680548849,-0.8503498631327074
0.09,alternating,1,0.0004,none,1083,0.47368421052631576,-6.557752717674108e-05,-0.0002580925074005421,0.008611776012018908,-0.07102046193241059
0.09,alternating,1,0.0004,0.02,485,0.4515463917525773,-0.0001645143823449864,-0.00043560236591582113,0.007427409258874814,-0.0797894754373184
0.09,alternating,1,0.0006,none,1083,0.46075715604801476,-0.0002655775271767409,-0.00045809250740054205,0.008611776012018908,-0.2876204619324104
0.09,alternating,1,0.0006,0.02,485,0.4329896907216495,-0.0003645143823449881,-0.0006356023659158211,0.007427409258874814,-0.17678947543731924
0.09,alternating,1,0.0008,none,1083,0.4422899353647276,-0.00046557752717674616,-0.0006580925074005421,0.008611776012018908,-0.5042204619324161
0.09,alternating,1,0.0008,0.02,485,0.41855670103092785,-0.0005645143823449842,-0.0008356023659158211,0.007427409258874814,-0.27378947543731735
0.09,alternating,4,0.0004,none,1083,0.492151431209603,0.00023998702739691348,-0.00022906799323312265,0.01643517705323298,0.2599059506708573
0.09,alternating,4,0.0004,0.02,485,0.4845360824742268,0.0007067621013724124,-0.0003373802984272697,0.012997643303478674,0.34277961916562
0.09,alternating,4,0.0006,none,1083,0.4838411819021237,3.998702739690568e-05,-0.0004290679932331226,0.01643517705323298,0.04330595067084885
0.09,alternating,4,0.0006,0.02,485,0.48041237113402063,0.0005067621013724255,-0.0005373802984272696,0.012997643303478674,0.2457796191656264
0.09,alternating,4,0.0008,none,1083,0.4773776546629732,-0.00016001297260310806,-0.0006290679932331227,0.01643517705323298,-0.17329404932916603
0.09,alternating,4,0.0008,0.02,485,0.4762886597938144,0.00030676210137241407,-0.0007373802984272697,0.012997643303478674,0.14877961916562082
0.09,alternating,24,0.0004,none,1083,0.4967682363804247,-0.0003994800653426542,-0.0002120972513897531,0.04073512740856576,-0.4326369107660945
0.09,alternating,24,0.0004,0.02,485,0.4762886597938144,-0.0009138748872090961,-0.0011025001265095198,0.03350395966370323,-0.4432293202964116
0.09,alternating,24,0.0006,none,1083,0.4939981532779317,-0.0005994800653426553,-0.00041209725138975303,0.04073512740856576,-0.6492369107660957
0.09,alternating,24,0.0006,0.02,485,0.4742268041237113,-0.0011138748872090963,-0.0013025001265095197,0.03350395966370323,-0.5402293202964117
0.09,alternating,24,0.0008,none,1083,0.492151431209603,-0.0007994800653426607,-0.0006120972513897531,0.04073512740856576,-0.8658369107661016
0.09,alternating,24,0.0008,0.02,485,0.4742268041237113,-0.001313874887209104,-0.0015025001265095198,0.03350395966370323,-0.6372293202964154
0.09,alternating,48,0.0004,none,1083,0.4967682363804247,-0.0006345135239151487,-0.00030744181302615436,0.050279315923356015,-0.6871781464001061
0.09,alternating,48,0.0004,0.02,485,0.4865979381443299,-0.0005281071751465869,-0.0016074070825136562,0.044979610622164976,-0.25613197994609466
0.09,alternating,48,0.0006,none,1083,0.4930747922437673,-0.000834513523915156,-0.0005074418130261543,0.050279315923356015,-0.9037781464001139
0.09,alternating,48,0.0006,0.02,485,0.4824742268041237,-0.0007281071751465824,-0.001807407082513656,0.044979610622164976,-0.35313197994609247
0.09,alternating,48,0.0008,none,1083,0.492151431209603,-0.001034513523915152,-0.0007074418130261544,0.050279315923356015,-1.1203781464001097
