test_year,train_years,best_th_train_4h,train_avg_4h,train_n_4h,test_n_4h,test_avg_4h,test_win_4h,best_th_train_48h,train_avg_48h,train_n_48h,test_n_48h,test_avg_48h,test_win_48h
2022,2021,0.16,0.0005553494383185637,102,220,0.00031811748177590485,0.4909090909090909,0.16,0.006013141867972449,102,220,-0.0032008550255374036,0.4772727272727273
2023,"2021,2022",0.16,0.0003932654928546305,322,30,-0.0022127746280518187,0.43333333333333335,0.14,0.0008196319065966104,421,43,-0.0057713480817745974,0.3953488372093023
2024,"2021,2022,2023",0.16,0.00017115980073192176,352,67,-0.0009325562456392751,0.43283582089552236,0.14,0.00020882988181220952,464,109,0.0030874276277016804,0.4954128440366973
2025,"2021,2022,2023,2024",0.16,-5.3294000004649366e-06,419,54,-0.0013341560299645436,0.5370370370370371,0.14,0.0007564165385346389,573,81,-0.0073615966194136165,0.3950617283950617
2026,"2021,2022,2023,2024,2025",0.22,0.0003329063107499772,222,3,0.002948882919200761,0.6666666666666666,0.14,-0.00024902545809197944,654,16,-0.006009624510992687,0.3125
