timestamp,timestamp_kst,direction,gross_return,net_return,cum_net_return,a,b,diff
1628604000000,2021-08-10 23:00,short,0.0030956310705818613,0.0022956310705818613,0.0022956310705818613,-0.04814999999999969,0.08484999999999987,0.13299999999999956
1628841600000,2021-08-13 17:00,long,0.008940402845182494,0.008140402845182493,0.010436033915764354,0.02474166666666644,-0.08742500000000009,0.11216666666666653
1628946000000,2021-08-14 22:00,long,0.00740279950514533,0.0066027995051453296,0.017038833420909685,0.14367499999999978,-0.011574999999999669,0.15524999999999944
1628949600000,2021-08-14 23:00,short,0.0034043962952645668,0.002604396295264567,0.019643229716174253,-0.011574999999999669,0.09085833333333304,0.10243333333333271
1629025200000,2021-08-15 20:00,long,0.006007061248866741,0.00520706124886674,0.024850290965040996,0.08175833333333316,-0.023600000000000065,0.10535833333333322
1629147600000,2021-08-17 06:00,short,-0.005256786105541922,-0.006056786105541922,0.01879350485949907,-0.08454166666666652,0.07264166666666672,0.15718333333333323
1629190800000,2021-08-17 18:00,long,-0.012182836113177276,-0.012982836113177276,0.005810668746321796,0.06384166666666657,-0.05796666666666628,0.12180833333333285
1629208800000,2021-08-17 23:00,short,0.003893757233240036,0.003093757233240036,0.008904425979561831,-0.04850166666666644,0.06399166666666667,0.11249333333333311
1629226800000,2021-08-18 04:00,long,-0.01415342157207189,-0.01495342157207189,-0.006048995592510058,0.0959166666666662,-0.04112499999999941,0.13704166666666562
1629234000000,2021-08-18 06:00,short,-0.006102513425674694,-0.006902513425674694,-0.012951509018184752,-0.11020500000000011,0.013379999999999947,0.12358500000000006
1629248400000,2021-08-18 10:00,long,0.007846321757798203,0.007046321757798202,-0.00590518726038655,0.0513333333333339,-0.08128787878787902,0.13262121212121292
1629252000000,2021-08-18 11:00,short,-0.010374465159713742,-0.011174465159713742,-0.017079652420100292,-0.08128787878787902,0.06981287878787867,0.1511007575757577
1629255600000,2021-08-18 12:00,long,7.634978574744267e-05,-0.0007236502142525574,-0.017803302634352848,0.06981287878787867,-0.06479999999999975,0.13461287878787842
1629259200000,2021-08-18 13:00,short,-0.004578011699363449,-0.005378011699363449,-0.0231813143337163,-0.06479999999999975,0.038616666666666744,0.10341666666666649
1629316800000,2021-08-19 05:00,short,-0.010685038834164384,-0.011485038834164385,-0.034666353167880685,-0.03079166666666655,0.10593333333333299,0.13672499999999954
1629331200000,2021-08-19 09:00,long,-0.018563168033408628,-0.019363168033408627,-0.054029521201289316,0.10078333333333278,-0.004849999999999577,0.10563333333333236
1629396000000,2021-08-20 03:00,short,-0.004170824287607733,-0.004970824287607733,-0.05900034548889705,-0.10478333333333323,0.0921833333333335,0.19696666666666673
1629882000000,2021-08-25 18:00,short,-0.00711842615990399,-0.00791842615990399,-0.06691877164880104,-0.031266666666666776,0.07894166666666669,0.11020833333333346
1629950400000,2021-08-26 13:00,short,0.019940198411939947,0.019140198411939948,-0.04777857323686109,-0.07827499999999987,0.05041666666666633,0.1286916666666662
1629961200000,2021-08-26 16:00,long,0.0006141963906300951,-0.00018580360936990491,-0.047964376846231,0.10144166666666665,-0.0022250000000001435,0.1036666666666668
1629964800000,2021-08-26 17:00,short,-0.000768509686877028,-0.001568509686877028,-0.04953288653310803,-0.0022250000000001435,0.10267500000000007,0.10490000000000022
1629979200000,2021-08-26 21:00,long,-0.0012843379659438492,-0.002084337965943849,-0.05161722449905188,0.08254166666666629,-0.12712499999999993,0.20966666666666622
1630036800000,2021-08-27 13:00,short,-0.007811395081517514,-0.008611395081517514,-0.060228619580569395,-0.02328333333333288,0.08013333333333272,0.1034166666666656
1630054800000,2021-08-27 18:00,short,-0.0027940454844759266,-0.0035940454844759265,-0.06382266506504532,-0.10710833333333292,0.017158333333332942,0.12426666666666586
1630072800000,2021-08-27 23:00,long,0.004270535891121918,0.0034705358911219183,-0.0603521291739234,0.07719999999999994,-0.08362500000000006,0.160825
1630364400000,2021-08-31 08:00,short,-0.0031563826429379382,-0.003956382642937939,-0.06430851181686134,-0.01392500000000041,0.12952500000000033,0.14345000000000074
1630386000000,2021-08-31 14:00,long,0.005050824866588366,0.004250824866588366,-0.06005768695027298,0.06690833333333313,-0.032433333333332204,0.09934166666666533
