year,n_4h,avg_4h,win_rate_4h,n_48h,avg_48h,win_rate_48h
2021,273,0.0002318328342237534,0.4908424908424908,273,0.0027169617139505965,0.5274725274725275
2022,566,-0.000853978051622174,0.4664310954063604,566,-0.0008699317826490163,0.5
2023,103,-0.0008859116570138261,0.44660194174757284,103,-0.0042732539738190405,0.4077669902912621
2024,224,-0.001313600313639953,0.45089285714285715,224,-0.0014647389104548456,0.5
2025,181,-0.0017372555754589499,0.4696132596685083,181,-0.0033923256209755976,0.4696132596685083
2026,39,-0.0018155858498139761,0.4358974358974359,38,-0.007895864784286782,0.3684210526315789
