regime,n,win_rate,avg,median,std,sum
down,546,0.48534798534798534,-0.0010840334459916634,-0.00037007152701476964,0.019350516858852963,-0.5918822615114482
flat,663,0.46304675716440424,-0.00043011981775587454,-0.0010167450285648353,0.013645759208303326,-0.2851694391721448
up,177,0.423728813559322,-0.0017726327176274795,-0.0011241509848980195,0.015971756559079623,-0.31375599102006385
