scenario_id,years,paths,trades_per_year,exp_final,p05_final,p50_final,p95_final,p05_mdd,p50_mdd,p95_mdd,prob_mdd_le_20,prob_mdd_le_30,prob_final_negative
V3C_blend80_fixed,1,5000,300,0.7236050768570739,-0.027822319283862473,0.6277485420357629,1.770794600230813,-0.33176620235188115,-0.19474346040979396,-0.1215194643352695,0.469,0.0964,0.0614
V3C_blend80_fixed,2,5000,300,1.9570502918715262,0.29111879799194873,1.6476488985550892,4.558468825315302,-0.38597538670741405,-0.23818530955951578,-0.15512591080503524,0.7402,0.2116,0.0132
V3D_blend80_volTarget,1,5000,300,1.0765778419876586,-0.20275903280648844,0.8100179072948805,3.273566604976245,-0.5203213833881839,-0.315326119487635,-0.19852409245733582,0.9476,0.5674,0.121
V3D_blend80_volTarget,2,5000,300,3.3247887594236927,0.03842757518880502,2.3081844669324676,9.686735859011971,-0.5960255268402925,-0.3866379107204623,-0.2542408296854576,0.9974,0.837,0.0438
