scenario_id,desc,n,win_rate,avg,median,std,sum,mdd,ci05,ci95,prob_mean_gt_0,initial_capital,final_capital,total_return_pct
V2E_alt_th010_flat_vol_cool8_tp25_sl12_h24,"alt, th=0.10, flat(2%), vol<=2.5%, cooldown8h, TP2.5/SL1.2, max24h (tuned)",289,0.43944636678200694,0.0014146483438018088,-0.012823364568784279,0.018722902209242012,0.4088333713587227,-0.1348102439949843,-0.0004043350066436647,0.003112769325948676,0.8948,10000.0,14309.523209219014,0.4309523209219015
V2A_alt_th009_flat_vol_cool6_tp20_sl12_h24,"alt, th=0.09, flat(2%), vol<=2.5%, cooldown6h, TP2.0/SL1.2, max24h",364,0.46703296703296704,0.0011105791730876247,-0.005166591693360456,0.017195532512896808,0.4042508190038954,-0.18929375076151855,-0.0004254253617532748,0.002596861678512708,0.888,10000.0,14197.103244118223,0.4197103244118223
V2C_alt_th007_flat_cool24_tp30_sl20_h48,"alt, th=0.07, flat(2%), cooldown24h, TP3.0/SL2.0, max48h",404,0.47029702970297027,0.0009943425757136832,-0.004761025351440495,0.024699496982446945,0.401714400588328,-0.4437692436251036,-0.0009660619662487457,0.00292634929794619,0.798,10000.0,13218.01854197088,0.32180185419708796
V2D_raw_th014_flat_vol_tp25_sl15_h24,"raw, th=0.14, flat(2%), vol<=2.5%, TP2.5/SL1.5, max24h",250,0.452,-1.4483635767273893e-05,-0.0048953165031299425,0.019457974832669606,-0.003620908941818473,-0.20462591098249017,-0.002096265960804414,0.0019962983348538847,0.486,10000.0,9505.837777385921,-0.04941622226140785
V2B_alt_th018_vol_cool8_tp15_sl10_h12,"alt, th=0.18, vol<=3.0%, cooldown8h, TP1.5/SL1.0, max12h",158,0.4430379746835443,-0.0006838952272832051,-0.010836976546866916,0.015093829535151477,-0.1080554459107464,-0.3115004409235085,-0.0025986578465411222,0.0013386887631081658,0.282,10000.0,8814.860474425926,-0.11851395255740738
B0_baseline_raw4h_fixed,"baseline comparator (fixed 4h hold, no TP/SL)",1386,0.4668109668109668,-0.000859168608732794,-0.000790378288242443,0.016412569424739086,-1.1908076917036525,-0.8087942119742457,-0.0016026311837383483,-0.0001264015288964943,0.0248,10000.0,2517.492999730295,-0.7482507000269705
