trade_no,timestamp,timestamp_kst,direction,gross_return,net_return,pnl_amount,capital_before,capital_after,exit_type,exit_timestamp,exit_timestamp_kst
21,1633287600000,2021-10-04 04:00,long,-0.020106103311485657,-0.020906103311485656,-199.3261787158624,9534.353473052728,9335.027294336865,sl,1633296000000,2021-10-04 06:20
22,1633683600000,2021-10-08 18:00,long,-0.02448377340370589,-0.025283773403705887,-236.02471482742297,9335.027294336865,9099.002579509443,sl,1633700100000,2021-10-08 22:35
23,1633838400000,2021-10-10 13:00,long,0.03215869268806304,0.03135869268806304,285.33282565872946,9099.002579509443,9384.335405168173,tp,1633935600000,2021-10-11 16:00
24,1634504400000,2021-10-18 06:00,short,-0.022164483109922584,-0.022964483109922582,-215.506411909833,9384.335405168173,9168.82899325834,sl,1634508000000,2021-10-18 07:00
25,1634814000000,2021-10-21 20:00,short,0.03251629782401477,0.03171629782401477,290.801311047643,9168.82899325834,9459.630304305982,tp,1634826000000,2021-10-21 23:20
26,1635001200000,2021-10-24 00:00,short,-0.020664081515322286,-0.021464081515322284,-203.04227595643653,9459.630304305982,9256.588028349544,sl,1635146400000,2021-10-25 16:20
27,1635091200000,2021-10-25 01:00,long,0.03849554798607335,0.03769554798607335,348.9321582099624,9256.588028349544,9605.520186559506,tp,1635123300000,2021-10-25 09:55
28,1635274800000,2021-10-27 04:00,short,0.03216392113494704,0.031363921134947036,301.2667775913941,9605.520186559506,9906.7869641509,tp,1635285600000,2021-10-27 07:00
29,1635498000000,2021-10-29 18:00,long,0.03210354874243393,0.03130354874243393,310.11758861320675,9906.7869641509,10216.904552764106,tp,1635524100000,2021-10-30 01:15
30,1635649200000,2021-10-31 12:00,short,0.030379788228772964,0.029579788228772965,302.21387302434863,10216.904552764106,10519.118425788454,tp,1635738900000,2021-11-01 12:55
31,1635739200000,2021-11-01 13:00,long,0.031458344055866894,0.030658344055866895,322.49875186223136,10519.118425788454,10841.617177650685,tp,1635750300000,2021-11-01 16:05
32,1635825600000,2021-11-02 13:00,long,0.030054901622016184,0.029254901622016185,317.17044395573157,10841.617177650685,11158.787621606418,tp,1635846600000,2021-11-02 18:50
33,1635933600000,2021-11-03 19:00,long,-0.020988931147120082,-0.02178893114712008,-243.13805517251808,11158.787621606418,10915.6495664339,sl,1635947400000,2021-11-03 22:50
34,1636038000000,2021-11-05 00:00,short,0.017203933981258746,0.016403933981258747,179.05959485033736,10915.6495664339,11094.709161284238,timeout,1636210800000,2021-11-07 00:00
35,1636138800000,2021-11-06 04:00,long,0.02173143071685546,0.02093143071685546,232.2281361330826,11094.709161284238,11326.93729741732,timeout,1636311600000,2021-11-08 04:00
36,1636246800000,2021-11-07 10:00,short,-0.02092888297268125,-0.02172888297268125,-246.12169497447937,11326.93729741732,11080.81560244284,sl,1636329900000,2021-11-08 09:05
37,1636678800000,2021-11-12 10:00,long,-0.020650406265535715,-0.021450406265535713,-237.6879964258858,11080.81560244284,10843.127606016955,sl,1636722900000,2021-11-12 22:15
38,1636822800000,2021-11-14 02:00,long,-0.00814745109754933,-0.00894745109754933,-97.01835399932384,10843.127606016955,10746.109252017632,timeout,1636995600000,2021-11-16 02:00
39,1636916400000,2021-11-15 04:00,long,0.03089144382750897,0.03009144382750897,323.365942921363,10746.109252017632,11069.475194938994,tp,1636934700000,2021-11-15 09:05
40,1637168400000,2021-11-18 02:00,long,-0.020760537958597003,-0.021560537958597,-238.6638401222301,11069.475194938994,10830.811354816764,sl,1637230500000,2021-11-18 19:15
41,1637344800000,2021-11-20 03:00,long,0.030000221643801783,0.029200221643801785,316.2620921428546,10830.811354816764,11147.07344695962,tp,1637449200000,2021-11-21 08:00
