trade_no,timestamp,timestamp_kst,direction,gross_return,net_return,pnl_amount,capital_before,capital_after,exit_type,exit_timestamp,exit_timestamp_kst
30,1630429200000,2021-09-01 02:00,long,-0.0038819178789841757,-0.004681917878984176,-43.52583718445299,9296.582791387336,9253.056954202882,fixed_4h,,
31,1630515600000,2021-09-02 02:00,long,-0.00694936305533389,-0.007749363055333891,-71.70529770980015,9253.056954202882,9181.351656493081,fixed_4h,,
32,1630526400000,2021-09-02 05:00,short,-0.010128466562349558,-0.010928466562349559,-100.33809457515737,9181.351656493081,9081.013561917924,fixed_4h,,
33,1630659600000,2021-09-03 18:00,long,0.012634917924127409,0.011834917924127409,107.47305017318652,9081.013561917924,9188.48661209111,fixed_4h,,
34,1630670400000,2021-09-03 21:00,long,-0.003930551057457765,-0.0047305510574577655,-43.466605059264126,9188.48661209111,9145.020007031846,fixed_4h,,
35,1630753200000,2021-09-04 20:00,short,0.0013692000708039886,0.0005692000708039886,5.205346035506419,9145.020007031846,9150.225353067353,fixed_4h,,
36,1630756800000,2021-09-04 21:00,long,-0.007459588504382886,-0.008259588504382886,-75.57709613870794,9150.225353067353,9074.648256928645,fixed_4h,,
37,1630764000000,2021-09-04 23:00,short,0.004382425208869556,0.003582425208869556,32.50924867724535,9074.648256928645,9107.15750560589,fixed_4h,,
38,1630825200000,2021-09-05 16:00,long,0.006648339956625504,0.005848339956625504,53.26175313131678,9107.15750560589,9160.419258737207,fixed_4h,,
39,1631026800000,2021-09-08 00:00,long,0.003444581602539243,0.002644581602539243,24.225476243202586,9160.419258737207,9184.64473498041,fixed_4h,,
40,1631030400000,2021-09-08 01:00,short,0.014146298391568557,0.013346298391568557,122.58100925359764,9184.64473498041,9307.225744234007,fixed_4h,,
41,1631095200000,2021-09-08 19:00,short,0.012658993929114626,0.011858993929114625,110.37433359777044,9307.225744234007,9417.600077831778,fixed_4h,,
42,1631098800000,2021-09-08 20:00,long,-0.011261970669581012,-0.012061970669581012,-113.59481591665076,9417.600077831778,9304.005261915127,fixed_4h,,
43,1631185200000,2021-09-09 20:00,long,0.014604601714512278,0.013804601714512277,128.4380869904648,9304.005261915127,9432.443348905592,fixed_4h,,
44,1631278800000,2021-09-10 22:00,short,0.004629076329862536,0.003829076329862536,36.11754556006371,9432.443348905592,9468.560894465656,fixed_4h,,
45,1631282400000,2021-09-10 23:00,long,0.013121448893160581,0.01232144889316058,116.66638915293741,9468.560894465656,9585.227283618593,fixed_4h,,
46,1631293200000,2021-09-11 02:00,long,-0.02303586941400748,-0.02383586941400748,-228.47222583591443,9585.227283618593,9356.755057782679,fixed_4h,,
47,1631332800000,2021-09-11 13:00,short,0.0029777006909664783,0.0021777006909664783,20.376211954537432,9356.755057782679,9377.131269737216,fixed_4h,,
48,1631487600000,2021-09-13 08:00,long,-0.032321414128364534,-0.033121414128364536,-310.5838481210031,9377.131269737216,9066.547421616213,fixed_4h,,
49,1631494800000,2021-09-13 10:00,short,0.010601076149735822,0.009801076149735822,88.86192169445147,9066.547421616213,9155.409343310665,fixed_4h,,
50,1631505600000,2021-09-13 13:00,long,-0.00471249366153359,-0.00551249366153359,-50.46913597374545,9155.409343310665,9104.940207336918,fixed_4h,,
51,1631541600000,2021-09-13 23:00,short,-0.014703531935181369,-0.015503531935181369,-141.15873127236478,9104.940207336918,8963.781476064554,fixed_4h,,
52,1631548800000,2021-09-14 01:00,long,0.013195245613397022,0.012395245613397022,111.10827302063865,8963.781476064554,9074.889749085192,fixed_4h,,
53,1631815200000,2021-09-17 03:00,short,0.0001330917668782572,-0.0006669082331217428,-6.052118688337022,9074.889749085192,9068.837630396856,fixed_4h,,
54,1632052800000,2021-09-19 21:00,short,-0.006386481253241039,-0.007186481253241039,-65.17303161953389,9068.837630396856,9003.664598777323,fixed_4h,,
55,1632063600000,2021-09-20 00:00,long,-0.006934769587752965,-0.007734769587752965,-69.64127111695083,9003.664598777323,8934.023327660372,fixed_4h,,
56,1632110400000,2021-09-20 13:00,short,0.012722276544594568,0.011922276544594568,106.51389676822596,8934.023327660372,9040.537224428597,fixed_4h,,
57,1632117600000,2021-09-20 15:00,long,-0.023186876768087727,-0.023986876768087726,-216.8542523196786,9040.537224428597,8823.682972108918,fixed_4h,,
58,1632142800000,2021-09-20 22:00,short,-0.0008406559298004268,-0.0016406559298004267,-14.47662779086955,8823.682972108918,8809.206344318049,fixed_4h,,
59,1632150000000,2021-09-21 00:00,long,-0.0012547707191168378,-0.0020547707191168377,-18.100899254963007,8809.206344318049,8791.105445063085,fixed_4h,,
60,1632153600000,2021-09-21 01:00,short,0.006906071835235061,0.006106071835235061,53.67912135868129,8791.105445063085,8844.784566421768,fixed_4h,,
61,1632178800000,2021-09-21 08:00,short,0.009308404951344995,0.008508404951344995,75.25500879852277,8844.784566421768,8920.03957522029,fixed_4h,,
62,1632182400000,2021-09-21 09:00,long,0.019774428964989932,0.018974428964989933,169.25265728491635,8920.03957522029,9089.292232505206,fixed_4h,,
63,1632189600000,2021-09-21 11:00,short,0.0002702861356866926,-0.0005297138643133075,-4.814724112353262,9089.292232505206,9084.477508392853,fixed_4h,,
64,1632204000000,2021-09-21 15:00,short,-0.013879840273272936,-0.014679840273272937,-133.35867878934758,9084.477508392853,8951.118829603505,fixed_4h,,
65,1632211200000,2021-09-21 17:00,short,0.002341590880630018,0.001541590880630018,13.798963159152404,8951.118829603505,8964.917792762657,fixed_4h,,
66,1632218400000,2021-09-21 19:00,long,-0.023024010391834104,-0.023824010391834103,-213.58029465671598,8964.917792762657,8751.33749810594,fixed_4h,,
67,1632222000000,2021-09-21 20:00,short,0.006845158941738205,0.006045158941738205,52.903226128843976,8751.33749810594,8804.240724234785,fixed_4h,,
68,1632258000000,2021-09-22 06:00,short,-0.019701527382546713,-0.02050152738254671,-180.50038229043236,8804.240724234785,8623.740341944353,fixed_4h,,
69,1632261600000,2021-09-22 07:00,long,0.0357870667986675,0.0349870667986675,301.7193793979707,8623.740341944353,8925.459721342324,fixed_4h,,
70,1632330000000,2021-09-23 02:00,long,0.005348776631961538,0.004548776631961538,40.599922609955904,8925.459721342324,8966.05964395228,fixed_4h,,
71,1632474000000,2021-09-24 18:00,short,0.013804888657139802,0.013004888657139802,116.60260736287393,8966.05964395228,9082.662251315154,fixed_4h,,
72,1632495600000,2021-09-25 00:00,long,0.010922927232850155,0.010122927232850154,91.94312905061827,9082.662251315154,9174.605380365772,fixed_4h,,
73,1632499200000,2021-09-25 01:00,short,-0.018383106328007326,-0.019183106328007325,-175.9974305290647,9174.605380365772,8998.607949836707,fixed_4h,,
74,1632654000000,2021-09-26 20:00,short,-0.006526699475282394,-0.007326699475282394,-65.93009614434058,8998.607949836707,8932.677853692367,fixed_4h,,
75,1632877200000,2021-09-29 10:00,long,0.018684655545089246,0.017884655545089247,159.7578665085351,8932.677853692367,9092.435720200901,fixed_4h,,
76,1632963600000,2021-09-30 10:00,long,0.01230332040955684,0.011503320409556839,104.59320139277067,9092.435720200901,9197.028921593672,fixed_4h,,
77,1633032000000,2021-10-01 05:00,short,-0.005872447185805374,-0.006672447185805374,-61.366689745658334,9197.028921593672,9135.662231848013,fixed_4h,,
78,1633082400000,2021-10-01 19:00,short,-0.0014042090806156704,-0.0022042090806156703,-20.136909648877012,9135.662231848013,9115.525322199135,fixed_4h,,
79,1633284000000,2021-10-04 03:00,short,0.017647882242866952,0.016847882242866954,153.57729721028286,9115.525322199135,9269.102619409417,fixed_4h,,
80,1633287600000,2021-10-04 04:00,long,-0.012943965252717349,-0.013743965252717349,-127.3942243250344,9269.102619409417,9141.708395084383,fixed_4h,,
81,1633363200000,2021-10-05 01:00,long,0.009728101666735878,0.008928101666735877,81.61810195896624,9141.708395084383,9223.326497043348,fixed_4h,,
82,1633528800000,2021-10-06 23:00,short,-0.0005888393217767796,-0.0013888393217767795,-12.809718516679483,9223.326497043348,9210.51677852667,fixed_4h,,
83,1633683600000,2021-10-08 18:00,long,-0.019862867653344662,-0.02066286765334466,-190.315689213607,9210.51677852667,9020.201089313063,fixed_4h,,
84,1634328000000,2021-10-16 05:00,short,0.01787335055505135,0.01707335055505135,154.00505527489796,9020.201089313063,9174.20614458796,fixed_4h,,
85,1634500800000,2021-10-18 05:00,long,0.04906359551851902,0.04826359551851902,442.78017456590516,9174.20614458796,9616.986319153866,fixed_4h,,
86,1634565600000,2021-10-18 23:00,long,-0.007050203191152349,-0.00785020319115235,-75.49529669189016,9616.986319153866,9541.491022461976,fixed_4h,,
87,1634806800000,2021-10-21 18:00,long,-0.019776055145719562,-0.02057605514571956,-196.32624545056575,9541.491022461976,9345.16477701141,fixed_4h,,
88,1634814000000,2021-10-21 20:00,short,0.03004576212446275,0.02924576212446275,273.3064660823837,9345.16477701141,9618.471243093794,fixed_4h,,
89,1635080400000,2021-10-24 22:00,long,-0.003975371572283448,-0.0047753715722834485,-45.93177414309595,9618.471243093794,9572.539468950697,fixed_4h,,
90,1635087600000,2021-10-25 00:00,short,-0.013191191510071754,-0.013991191510071754,-133.93123294780978,9572.539468950697,9438.608236002889,fixed_4h,,
