trade_no,timestamp,timestamp_kst,direction,gross_return,net_return,pnl_amount,capital_before,capital_after,exit_type,exit_timestamp,exit_timestamp_kst
43,1641146400000,2022-01-03 03:00,short,0.01295469218418277,0.01215469218418277,119.27471131455243,9813.058982256074,9932.333693570627,timeout,1641232800000,2022-01-04 03:00
44,1641204000000,2022-01-03 19:00,long,-0.01562670408670741,-0.01642670408670741,-163.1555064747183,9932.333693570627,9769.178187095908,sl,1641227100000,2022-01-04 01:25
45,1641294000000,2022-01-04 20:00,long,-0.01837863431342379,-0.01917863431342379,-187.3594959929888,9769.178187095908,9581.818691102919,sl,1641321300000,2022-01-05 03:35
46,1641326400000,2022-01-05 05:00,long,-0.017858651490156974,-0.018658651490156972,-178.78381559916141,9581.818691102919,9403.034875503758,sl,1641411900000,2022-01-06 04:45
47,1641384000000,2022-01-05 21:00,short,0.035946636860376247,0.035146636860376244,330.4850521547837,9403.034875503758,9733.51992765854,tp,1641412500000,2022-01-06 04:55
48,1641549600000,2022-01-07 19:00,long,-0.022068686774363355,-0.022868686774363354,-222.59281843764703,9733.51992765854,9510.927109220895,sl,1641562800000,2022-01-07 22:40
49,1641837600000,2022-01-11 03:00,short,-0.0165821544352176,-0.0173821544352176,-165.32040383457527,9510.927109220895,9345.606705386319,sl,1641848400000,2022-01-11 06:00
50,1642086000000,2022-01-14 00:00,short,0.025912085979537647,0.025112085979537648,234.6876791166048,9345.606705386319,9580.294384502924,tp,1642089000000,2022-01-14 00:50
51,1642255200000,2022-01-15 23:00,long,0.006721678239253848,0.005921678239253847,56.73142078235679,9580.294384502924,9637.02580528528,timeout,1642341300000,2022-01-16 22:55
52,1642341600000,2022-01-16 23:00,long,-0.018372640546094998,-0.019172640546094997,-184.76723169817635,9637.02580528528,9452.258573587103,sl,1642395600000,2022-01-17 14:00
53,1642507200000,2022-01-18 21:00,short,-0.015167823857899165,-0.015967823857899164,-150.93199996235606,9452.258573587103,9301.326573624747,sl,1642546800000,2022-01-19 08:00
54,1642532400000,2022-01-19 04:00,long,0.006871196934171264,0.006071196934171264,56.470185377516266,9301.326573624747,9357.796759002264,timeout,1642618800000,2022-01-20 04:00
55,1642608000000,2022-01-20 01:00,short,-0.01865221311907872,-0.01945221311907872,-182.02985688113614,9357.796759002264,9175.766902121128,sl,1642689000000,2022-01-20 23:30
56,1642672800000,2022-01-20 19:00,long,0.029386020010056857,0.02858602001005686,262.29865627165196,9175.766902121128,9438.06555839278,tp,1642691100000,2022-01-21 00:05
57,1642986000000,2022-01-24 10:00,short,0.025624073157814564,0.024824073157814566,234.29122988979236,9438.06555839278,9672.356788282572,tp,1643002500000,2022-01-24 14:35
