test_year,train_n,train_avg,test_n,test_avg,test_win
2022,54,-0.0009774518006899185,118,0.0025110694024255875,0.4745762711864407
2023,172,0.001415836001447465,24,-0.0027401704095409048,0.375
2024,196,0.0009069372572448076,49,0.0015743399990974468,0.42857142857142855
2025,245,0.0010404178056153358,38,0.00400711177499474,0.5263157894736842
2026,283,0.001438772472881826,6,0.00027679358886101784,0.5
