scenario_id,test_year,train_years,train_n,train_avg,test_n,test_avg,test_win_rate
B0_baseline_raw4h_fixed,2022,2021,273,0.0002318328342237534,566,-0.000853978051622174,0.4664310954063604
B0_baseline_raw4h_fixed,2023,"2021,2022",839,-0.0005006689075984099,103,-0.0008859116570138261,0.44660194174757284
B0_baseline_raw4h_fixed,2024,"2021,2022,2023",942,-0.0005427920532351299,224,-0.001313600313639953,0.45089285714285715
B0_baseline_raw4h_fixed,2025,"2021,2022,2023,2024",1166,-0.0006908718562631623,181,-0.0017372555754589499,0.4696132596685083
B0_baseline_raw4h_fixed,2026,"2021,2022,2023,2024,2025",1347,-0.0008314772409509354,39,-0.0018155858498139761,0.4358974358974359
V2A_alt_th009_flat_vol_cool6_tp20_sl12_h24,2022,2021,74,-0.0005558462601432354,150,0.00187206816985369,0.49333333333333335
V2A_alt_th009_flat_vol_cool6_tp20_sl12_h24,2023,"2021,2022",224,0.0010699892956582788,30,0.0006797813162739391,0.5
V2A_alt_th009_flat_vol_cool6_tp20_sl12_h24,2024,"2021,2022,2023",254,0.0010239017390380799,58,0.0009972229466453414,0.4482758620689655
V2A_alt_th009_flat_vol_cool6_tp20_sl12_h24,2025,"2021,2022,2023,2024",312,0.0010189422199394255,45,0.0015819323724052545,0.4888888888888889
V2A_alt_th009_flat_vol_cool6_tp20_sl12_h24,2026,"2021,2022,2023,2024,2025",357,0.0010899073652082248,7,0.002164841374937054,0.5714285714285714
V2B_alt_th018_vol_cool8_tp15_sl10_h12,2022,2021,34,0.0021938677731548496,75,-0.0035451371694314314,0.38666666666666666
V2B_alt_th018_vol_cool8_tp15_sl10_h12,2023,"2021,2022",109,-0.0017549888387164397,11,0.0007478546674445287,0.5454545454545454
V2B_alt_th018_vol_cool8_tp15_sl10_h12,2024,"2021,2022,2023",120,-0.0015255615173183504,19,0.002582821543357543,0.5263157894736842
V2B_alt_th018_vol_cool8_tp15_sl10_h12,2025,"2021,2022,2023,2024",139,-0.0009639839766504218,16,0.00025959916507173526,0.375
V2B_alt_th018_vol_cool8_tp15_sl10_h12,2026,"2021,2022,2023,2024,2025",155,-0.0008376786200855534,3,0.007261580067504793,0.6666666666666666
V2C_alt_th007_flat_cool24_tp30_sl20_h48,2022,2021,66,0.004284140462634412,131,0.0016016726482619352,0.46564885496183206
V2C_alt_th007_flat_cool24_tp30_sl20_h48,2023,"2021,2022",197,0.0025003674490161536,51,-0.002452639515229414,0.47058823529411764
V2C_alt_th007_flat_cool24_tp30_sl20_h48,2024,"2021,2022,2023",248,0.001481805532981778,80,-0.002487365386319403,0.375
V2C_alt_th007_flat_cool24_tp30_sl20_h48,2025,"2021,2022,2023,2024",328,0.0005137150648595357,63,0.0029660224086879516,0.5555555555555556
V2C_alt_th007_flat_cool24_tp30_sl20_h48,2026,"2021,2022,2023,2024,2025",391,0.0009088438696196118,13,0.003565880582081547,0.5384615384615384
V2D_raw_th014_flat_vol_tp25_sl15_h24,2022,2021,42,-0.00027470938187917134,103,0.0006617105220314724,0.47572815533980584
V2D_raw_th014_flat_vol_tp25_sl15_h24,2023,"2021,2022",145,0.0003904716533125273,25,-0.0015938377358743713,0.4
V2D_raw_th014_flat_vol_tp25_sl15_h24,2024,"2021,2022,2023",170,9.866144902033655e-05,41,0.0030923914600902553,0.5121951219512195
V2D_raw_th014_flat_vol_tp25_sl15_h24,2025,"2021,2022,2023,2024",211,0.0006803814985647284,34,-0.0039140327666946475,0.38235294117647056
V2D_raw_th014_flat_vol_tp25_sl15_h24,2026,"2021,2022,2023,2024,2025",245,4.2789314814447555e-05,5,-0.002820858214271626,0.4
V2E_alt_th010_flat_vol_cool8_tp25_sl12_h24,2022,2021,54,-0.0009774518006899185,118,0.0025110694024255875,0.4745762711864407
V2E_alt_th010_flat_vol_cool8_tp25_sl12_h24,2023,"2021,2022",172,0.001415836001447465,24,-0.0027401704095409048,0.375
V2E_alt_th010_flat_vol_cool8_tp25_sl12_h24,2024,"2021,2022,2023",196,0.0009069372572448076,49,0.0015743399990974468,0.42857142857142855
V2E_alt_th010_flat_vol_cool8_tp25_sl12_h24,2025,"2021,2022,2023,2024",245,0.0010404178056153358,38,0.00400711177499474,0.5263157894736842
V2E_alt_th010_flat_vol_cool8_tp25_sl12_h24,2026,"2021,2022,2023,2024,2025",283,0.001438772472881826,6,0.00027679358886101784,0.5
