trade_no,timestamp,timestamp_kst,direction,gross_return,net_return,pnl_amount,capital_before,capital_after
1,1629396000000,2021-08-20 03:00,long,0.04268059678839431,0.04188059678839431,418.8059678839431,10000.0,10418.805967883944
2,1629979200000,2021-08-26 21:00,short,-0.008517390364100708,-0.009317390364100708,-97.0760823305968,10418.805967883944,10321.729885553346
3,1630526400000,2021-09-02 05:00,long,0.026408587361107072,0.025608587361107073,264.3249214919426,10321.729885553346,10586.05480704529
4,1631026800000,2021-09-08 00:00,short,0.013496356548100996,0.012696356548100996,134.40432626798548,10586.05480704529,10720.459133313276
5,1631030400000,2021-09-08 01:00,long,-0.022258913947613812,-0.02305891394761381,-247.20214463398136,10720.459133313276,10473.256988679293
6,1631487600000,2021-09-13 08:00,short,0.024113007807474718,0.02331300780747472,244.16312194676954,10473.256988679293,10717.420110626063
7,1632052800000,2021-09-19 21:00,long,-0.07886387035661002,-0.07966387035661002,-853.7911662502396,10717.420110626063,9863.628944375823
8,1632150000000,2021-09-21 00:00,short,0.019920566864875533,0.019120566864875534,188.59817676125962,9863.628944375823,10052.227121137083
9,1632211200000,2021-09-21 17:00,long,-0.02449113853046958,-0.02529113853046958,-254.23226866042137,10052.227121137083,9797.99485247666
10,1632495600000,2021-09-25 00:00,short,-0.017991124674314518,-0.018791124674314517,-184.1153428311808,9797.99485247666,9613.87950964548
11,1632499200000,2021-09-25 01:00,long,0.01068983933678136,0.009889839336781359,95.07972375356815,9613.87950964548,9708.959233399048
12,1632877200000,2021-09-29 10:00,short,-0.03676014422658791,-0.03756014422658791,-364.66990909653066,9708.959233399048,9344.289324302517
13,1634814000000,2021-10-21 20:00,long,-0.022190011786056285,-0.022990011786056284,-214.82532169803477,9344.289324302517,9129.464002604482
14,1635966000000,2021-11-04 04:00,short,0.026840647719756694,0.026040647719756695,237.73715596202322,9129.464002604482,9367.201158566504
15,1636038000000,2021-11-05 00:00,long,-0.004890187173983818,-0.005690187173983818,-53.301127888601485,9367.201158566504,9313.900030677903
16,1636743600000,2021-11-13 04:00,short,-0.00205310069975706,-0.00285310069975706,-26.573494694994427,9313.900030677903,9287.32653598291
17,1636747200000,2021-11-13 05:00,long,0.004034262604301508,0.0032342626043015085,30.03765290926659,9287.32653598291,9317.364188892176
18,1637056800000,2021-11-16 19:00,short,-0.003328630905217622,-0.0041286309052176225,-38.467957745428166,9317.364188892176,9278.896231146748
19,1637060400000,2021-11-16 20:00,long,0.000941158906977213,0.000141158906977213,1.3097988499436561,9278.896231146748,9280.20602999669
20,1637067600000,2021-11-16 22:00,short,0.005065152148468366,0.0042651521484683656,39.58149068706947,9280.20602999669,9319.78752068376
21,1637071200000,2021-11-16 23:00,long,-0.02069459797960327,-0.021494597979603267,-200.32508601242088,9319.78752068376,9119.462434671339
22,1637146800000,2021-11-17 20:00,short,0.023233791720325914,0.022433791720325915,204.5841208607531,9119.462434671339,9324.046555532092
23,1637236800000,2021-11-18 21:00,long,-0.038390463014283505,-0.03919046301428351,-365.41370167803797,9324.046555532092,8958.632853854053
24,1637265600000,2021-11-19 05:00,short,0.0035301070199509343,0.0027301070199509344,24.458026443470022,8958.632853854053,8983.090880297523
25,1637308800000,2021-11-19 17:00,long,0.026011982612734963,0.025211982612734964,226.48153108267917,8983.090880297523,9209.572411380203
26,1637434800000,2021-11-21 04:00,short,0.0012392215472299961,0.0004392215472299961,4.045042643853098,9209.572411380203,9213.617454024055
27,1637593200000,2021-11-23 00:00,long,-0.021229796182851812,-0.02202979618285181,-202.97411461891596,9213.617454024055,9010.64333940514
28,1637661600000,2021-11-23 19:00,short,0.006450175488541099,0.0056501754885410985,50.91171613229303,9010.64333940514,9061.555055537434
29,1637665200000,2021-11-23 20:00,long,0.00824353639697617,0.0074435363969761695,67.45001486909631,9061.555055537434,9129.00507040653
30,1637686800000,2021-11-24 02:00,short,0.013322937707502702,0.012522937707502702,114.3219618281773,9129.00507040653,9243.327032234707
31,1637946000000,2021-11-27 02:00,long,0.011296002891187262,0.010496002891187262,97.01798725452485,9243.327032234707,9340.345019489232
32,1638003600000,2021-11-27 18:00,short,0.007190146952195664,0.006390146952195664,59.68617725874506,9340.345019489232,9400.031196747977
33,1638007200000,2021-11-27 19:00,long,-0.00011627324962648622,-0.0009162732496264863,-8.612997131234618,9400.031196747977,9391.418199616743
34,1638028800000,2021-11-28 01:00,short,0.013068019289020905,0.012268019289020904,115.21409962416017,9391.418199616743,9506.632299240902
35,1638100800000,2021-11-28 21:00,long,0.04642047535489224,0.04562047535489224,433.69708451554214,9506.632299240902,9940.329383756445
36,1638295200000,2021-12-01 03:00,short,0.009651700949349973,0.008851700949349972,87.98882304304836,9940.329383756445,10028.318206799493
37,1638302400000,2021-12-01 05:00,long,-0.013408664066549392,-0.014208664066549392,-142.489004552875,10028.318206799493,9885.829202246618
38,1638345600000,2021-12-01 17:00,short,-0.0011694091635365833,-0.0019694091635365832,-19.46924262006204,9885.829202246618,9866.359959626556
39,1638349200000,2021-12-01 18:00,long,-0.007863485343504784,-0.008663485343504784,-85.47706490396712,9866.359959626556,9780.882894722588
40,1638352800000,2021-12-01 19:00,short,0.007729128330956958,0.006929128330956958,67.77299276759459,9780.882894722588,9848.655887490182
41,1638381600000,2021-12-02 03:00,long,-0.014087970773153935,-0.014887970773153935,-146.62650100780425,9848.655887490182,9702.029386482378
42,1638421200000,2021-12-02 14:00,short,0.0018443610682279399,0.00104436106822794,10.132421774045602,9702.029386482378,9712.161808256424
43,1638428400000,2021-12-02 16:00,long,-0.001503631134512573,-0.002303631134512573,-22.373238324923427,9712.161808256424,9689.788569931501
44,1638504000000,2021-12-03 13:00,short,0.14897228027528042,0.14817228027528043,1435.7580677920992,9689.788569931501,11125.5466377236
45,1638518400000,2021-12-03 17:00,long,-0.16053384121455017,-0.16133384121455016,-1794.927174675572,11125.5466377236,9330.61946304803
46,1638525600000,2021-12-03 19:00,short,0.16637727497284616,0.16557727497284616,1544.9385445000937,9330.61946304803,10875.558007548123
47,1638529200000,2021-12-03 20:00,long,-0.18343480547176017,-0.18423480547176016,-2003.656313917472,10875.558007548123,8871.90169363065
48,1638568800000,2021-12-04 07:00,short,0.08102017829110031,0.08022017829110031,711.7055356441656,8871.90169363065,9583.607229274816
49,1638604800000,2021-12-04 17:00,long,0.04307331889852328,0.04227331889852328,405.1308846013274,9583.607229274816,9988.738113876143
50,1638615600000,2021-12-04 20:00,short,-0.05627957594404043,-0.05707957594404043,-570.1529357561244,9988.738113876143,9418.585178120018
51,1638630000000,2021-12-05 00:00,long,-0.004473040824201524,-0.005273040824201524,-49.664584150446245,9418.585178120018,9368.920593969571
52,1638648000000,2021-12-05 05:00,short,0.011939077301866163,0.011139077301866163,104.3611307312729,9368.920593969571,9473.281724700844
53,1639065600000,2021-12-10 01:00,long,-0.016761844358862077,-0.017561844358862076,-166.36829921684873,9473.281724700844,9306.913425483996
54,1639180800000,2021-12-11 09:00,short,-0.03256350330755042,-0.033363503307550425,-310.5112368542207,9306.913425483996,8996.402188629774
55,1639245600000,2021-12-12 03:00,long,0.03610518923386796,0.03530518923386796,317.61968169355805,8996.402188629774,9314.021870323333
56,1639422000000,2021-12-14 04:00,short,-0.003712289140490155,-0.004512289140490155,-42.02755973974778,9314.021870323333,9271.994310583585
57,1639432800000,2021-12-14 07:00,long,0.0303312425611566,0.029531242561156603,273.81351301150784,9271.994310583585,9545.807823595092
58,1639594800000,2021-12-16 04:00,short,0.019288769097004832,0.018488769097004833,176.4902366948319,9545.807823595092,9722.298060289924
59,1639753200000,2021-12-18 00:00,long,0.008250176611999116,0.007450176611999116,72.43283762365637,9722.298060289924,9794.730897913581
60,1639922400000,2021-12-19 23:00,short,0.02634779541535537,0.02554779541535537,250.23378112835618,9794.730897913581,10044.964679041937
61,1639980000000,2021-12-20 15:00,long,0.04250804715471057,0.04170804715471057,418.95586050088326,10044.964679041937,10463.92053954282
62,1640869200000,2021-12-30 22:00,short,-0.004179242160566865,-0.004979242160566865,-52.10239431531319,10463.92053954282,10411.818145227506
63,1641063600000,2022-01-02 04:00,long,-0.008936284079011259,-0.009736284079011259,-101.3724192409391,10411.818145227506,10310.445725986567
64,1641204000000,2022-01-03 19:00,short,0.010497593572252661,0.009697593572252661,99.98651219938725,10310.445725986567,10410.432238185955
65,1641218400000,2022-01-03 23:00,long,0.010622844534915687,0.009822844534915687,102.26005741697499,10410.432238185955,10512.69229560293
66,1641294000000,2022-01-04 20:00,short,0.010823673045735505,0.010023673045735504,105.3757904015464,10512.69229560293,10618.068086004476
67,1641301200000,2022-01-04 22:00,long,-0.011127555605571549,-0.011927555605571549,-126.64759751956305,10618.068086004476,10491.420488484913
68,1641304800000,2022-01-04 23:00,short,0.01233517952879526,0.011535179528795259,121.02041884675432,10491.420488484913,10612.440907331667
69,1641312000000,2022-01-05 01:00,long,-0.010148732754703294,-0.010948732754703294,-116.19277936945537,10612.440907331667,10496.248127962212
70,1641326400000,2022-01-05 05:00,short,0.05146869906894069,0.05066869906894069,531.8312377486494,10496.248127962212,11028.07936571086
71,1641384000000,2022-01-05 21:00,long,-0.07164992616280996,-0.07244992616280996,-798.9835357633599,11028.07936571086,10229.0958299475
72,1641391200000,2022-01-05 23:00,short,0.08579654471581655,0.08499654471581655,869.4378011125053,10229.0958299475,11098.533631060005
73,1641398400000,2022-01-06 01:00,long,-0.07377705075950303,-0.07457705075950302,-827.6959059596134,11098.533631060005,10270.837725100391
74,1641412800000,2022-01-06 05:00,short,0.017793478017065212,0.016993478017065213,174.5372550983376,10270.837725100391,10445.374980198729
75,1641423600000,2022-01-06 08:00,long,-0.008685655483636201,-0.009485655483636201,-99.08122845955845,10445.374980198729,10346.293751739171
76,1641434400000,2022-01-06 11:00,short,0.010588742350196134,0.009788742350196134,101.27720381521887,10346.293751739171,10447.57095555439
77,1641445200000,2022-01-06 14:00,long,-0.02873124962066076,-0.029531249620660758,-308.52982581804196,10447.57095555439,10139.041129736348
78,1641484800000,2022-01-07 01:00,short,0.021302604600848873,0.020502604600848875,207.8767513147284,10139.041129736348,10346.917881051077
79,1641495600000,2022-01-07 04:00,long,-0.024312374637159406,-0.025112374637159405,-259.8356781688782,10346.917881051077,10087.082202882199
80,1641535200000,2022-01-07 15:00,short,0.017139648505588134,0.016339648505588136,164.8193776420688,10087.082202882199,10251.901580524267
81,1641765600000,2022-01-10 07:00,long,-0.0048281068178217534,-0.005628106817821754,-57.69879718098624,10251.901580524267,10194.20278334328
82,1641841200000,2022-01-11 04:00,short,-0.03779384109569994,-0.038593841095699945,-393.43344231769265,10194.20278334328,9800.769341025587
83,1641924000000,2022-01-12 03:00,long,0.019828596656627395,0.019028596656627397,186.49488671501578,9800.769341025587,9987.264227740603
84,1642255200000,2022-01-15 23:00,short,-0.002811981807929964,-0.003611981807929964,-36.07381670158876,9987.264227740603,9951.190411039015
85,1642356000000,2022-01-17 03:00,long,-0.020832934124851876,-0.021632934124851875,-215.27344662586466,9951.190411039015,9735.91696441315
