trade_no,timestamp,timestamp_kst,direction,gross_return,net_return,pnl_amount,capital_before,capital_after
1,1629979200000,2021-08-26 21:00,short,-0.04163993624521645,-0.04243993624521645,-424.3993624521645,10000.0,9575.600637547836
2,1634814000000,2021-10-21 20:00,long,-0.05067193948574278,-0.05147193948574278,-492.8747365555022,9575.600637547836,9082.725900992333
3,1635966000000,2021-11-04 04:00,short,0.02901310635121901,0.02821310635121901,256.2519118036682,9082.725900992333,9338.977812796002
4,1636038000000,2021-11-05 00:00,long,-0.006715194316544326,-0.0075151943165443266,-70.18423298105807,9338.977812796002,9268.793579814943
5,1636747200000,2021-11-13 05:00,long,0.0014529211351506088,0.0006529211351506088,6.051791225609447,9268.793579814943,9274.845371040552
6,1637146800000,2021-11-17 20:00,short,0.060326518753218816,0.059526518753218814,552.0992569124501,9274.845371040552,9826.944627953002
7,1637593200000,2021-11-23 00:00,long,-0.023947404000362105,-0.024747404000362103,-243.191368797141,9826.944627953002,9583.753259155861
8,1637661600000,2021-11-23 19:00,short,-0.02139119530007072,-0.02219119530007072,-212.67494028161698,9583.753259155861,9371.078318874244
9,1637665200000,2021-11-23 20:00,long,0.03173129312485701,0.03093129312485701,289.8595703770915,9371.078318874244,9660.937889251336
10,1637686800000,2021-11-24 02:00,short,-0.03221067149452894,-0.033010671494528944,-318.9140469911237,9660.937889251336,9342.023842260212
11,1638003600000,2021-11-27 18:00,short,-0.03966544888705381,-0.04046544888705381,-378.0291882906187,9342.023842260212,8963.994653969594
12,1638007200000,2021-11-27 19:00,long,0.044541240377087066,0.043741240377087064,392.0962448982074,8963.994653969594,9356.090898867802
13,1638028800000,2021-11-28 01:00,short,-0.04521031602523995,-0.04601031602523995,-430.4766990177789,9356.090898867802,8925.614199850022
14,1638100800000,2021-11-28 21:00,long,0.0644394526593115,0.06363945265931151,568.021202326634,8925.614199850022,9493.635402176656
15,1638295200000,2021-12-01 03:00,short,0.02360369884161828,0.022803698841618283,216.49000262336213,9493.635402176656,9710.12540480002
16,1638302400000,2021-12-01 05:00,long,-0.009097133309597827,-0.009897133309597827,-96.10240558421836,9710.12540480002,9614.0229992158
17,1638345600000,2021-12-01 17:00,short,0.005828056764959899,0.005028056764959899,48.33985337968706,9614.0229992158,9662.362852595486
18,1638349200000,2021-12-01 18:00,long,-0.0070992788435660925,-0.007899278843566093,-76.32569846036645,9662.362852595486,9586.03715413512
