trade_no,timestamp,timestamp_kst,direction,net_return,cum_net_return
52,1635044400000,2021-10-24 12:00,long,0.014984622082705812,0.09191244435731698
53,1635069600000,2021-10-24 19:00,short,-0.030528380763178296,0.061384063594138685
54,1635080400000,2021-10-24 22:00,long,0.043742806236131714,0.10512686983027039
55,1635091200000,2021-10-25 01:00,long,0.05229634456075107,0.15742321439102147
56,1635274800000,2021-10-27 04:00,short,0.04833057207315774,0.20575378646417922
57,1635498000000,2021-10-29 18:00,long,0.009318838884040082,0.2150726253482193
58,1635649200000,2021-10-31 12:00,short,0.027523803651153613,0.24259642899937292
59,1635739200000,2021-11-01 13:00,long,0.014976221545976021,0.25757265054534895
60,1635822000000,2021-11-02 12:00,short,-0.03509454962586798,0.22247810091948098
61,1635825600000,2021-11-02 13:00,long,0.022038378044098385,0.24451647896357936
62,1635933600000,2021-11-03 19:00,long,-0.021130687077975694,0.22338579188560367
63,1635937200000,2021-11-03 20:00,short,0.0259864589707002,0.24937225085630388
64,1635958800000,2021-11-04 02:00,long,-0.025083333396119987,0.2242889174601839
65,1635962400000,2021-11-04 03:00,short,0.03596225990838455,0.26025117736856845
66,1635966000000,2021-11-04 04:00,long,-0.027640647719756693,0.23261052964881176
67,1636038000000,2021-11-05 00:00,short,0.004090187173983817,0.2367007168227956
68,1636138800000,2021-11-06 04:00,long,0.0005421938862905325,0.23724291070908612
69,1636246800000,2021-11-07 10:00,short,-0.05345725431774171,0.18378565639134442
70,1636250400000,2021-11-07 11:00,long,0.049603143000841364,0.2333887993921858
71,1636678800000,2021-11-12 10:00,long,-0.019906815462462844,0.21348198392972295
72,1636686000000,2021-11-12 12:00,short,0.015791541523835686,0.22927352545355864
73,1636747200000,2021-11-13 05:00,short,-0.004834262604301509,0.22443926284925714
74,1636822800000,2021-11-14 02:00,long,-0.008687177151834624,0.21575208569742252
75,1636855200000,2021-11-14 11:00,short,-0.016010263089108443,0.19974182260831408
76,1636869600000,2021-11-14 15:00,long,0.013026240492288644,0.21276806310060273
77,1636873200000,2021-11-14 16:00,short,-0.015057609388058868,0.19771045371254387
78,1636916400000,2021-11-15 04:00,long,0.000602984123228812,0.19831343783577268
79,1637168400000,2021-11-18 02:00,long,-0.043227144499054494,0.1550862933367182
80,1637344800000,2021-11-20 03:00,long,0.027246161327172305,0.1823324546638905
81,1637352000000,2021-11-20 05:00,short,-0.02873935568859096,0.15359309897529955
82,1637355600000,2021-11-20 06:00,long,0.028033746953994767,0.18162684592929432
83,1637413200000,2021-11-20 22:00,short,-0.007132230406149942,0.17449461552314438
84,1637416800000,2021-11-20 23:00,long,0.008678260325555876,0.18317287584870026
85,1637427600000,2021-11-21 02:00,short,-0.027888553603429986,0.15528432224527028
86,1637496000000,2021-11-21 21:00,long,-0.03229360696745929,0.122990715277811
87,1637503200000,2021-11-21 23:00,short,0.009971534047955056,0.13296224932576606
88,1637517600000,2021-11-22 03:00,short,0.051116809220622804,0.18407905854638887
89,1637586000000,2021-11-22 22:00,long,-0.03970951055122638,0.1443695479951625
90,1637593200000,2021-11-23 00:00,short,0.020429796182851814,0.1647993441780143
91,1637632800000,2021-11-23 11:00,long,-0.011862314172502475,0.15293703000551184
92,1637647200000,2021-11-23 15:00,short,-0.004816595352275943,0.1481204346532359
93,1637661600000,2021-11-23 19:00,long,-0.007250175488541099,0.1408702591646948
94,1637665200000,2021-11-23 20:00,short,-0.00904353639697617,0.13182672276771865
95,1637683200000,2021-11-24 01:00,short,0.014564675160470797,0.14639139792818945
96,1637686800000,2021-11-24 02:00,long,-0.014122937707502703,0.13226846022068675
97,1637737200000,2021-11-24 16:00,short,-0.02125777258841097,0.11101068763227578
98,1637780400000,2021-11-25 04:00,short,-0.03645662351340193,0.07455406411887386
99,1637784000000,2021-11-25 05:00,long,0.024505512473505322,0.09905957659237918
100,1637794800000,2021-11-25 08:00,short,-0.03164897649786389,0.0674106000945153
101,1637802000000,2021-11-25 10:00,long,0.013623739620920583,0.08103433971543589
102,1637827200000,2021-11-25 17:00,long,-0.050452209494411294,0.030582130221024593
103,1638007200000,2021-11-27 19:00,short,-0.0006837267503735138,0.02989840347065108
104,1638010800000,2021-11-27 20:00,long,-0.0024807090395141166,0.027417694431136966
105,1638025200000,2021-11-28 00:00,short,0.010607273826390063,0.03802496825752703
106,1638028800000,2021-11-28 01:00,long,-0.013868019289020905,0.02415694896850612
107,1638057600000,2021-11-28 09:00,short,-0.05315355294077615,-0.02899660397227003
108,1638061200000,2021-11-28 10:00,long,0.06221291044941992,0.03321630647714989
109,1638064800000,2021-11-28 11:00,short,-0.054743462677240375,-0.021527156200090485
110,1638068400000,2021-11-28 12:00,long,0.058985829229908714,0.03745867302981823
111,1638100800000,2021-11-28 21:00,short,-0.047220475354892245,-0.009761802325074016
112,1638118800000,2021-11-29 02:00,long,0.08475874246854312,0.07499694014346911
113,1638230400000,2021-11-30 09:00,short,0.0012090043690254023,0.07620594451249452
114,1638270000000,2021-11-30 20:00,long,-0.011842454228930021,0.0643634902835645
115,1638288000000,2021-12-01 01:00,short,-0.031176530284889734,0.03318695999867477
116,1638295200000,2021-12-01 03:00,long,-0.010451700949349973,0.022735259049324795
117,1638302400000,2021-12-01 05:00,short,0.012608664066549391,0.035343923115874185
118,1638327600000,2021-12-01 12:00,long,-0.017669414880360865,0.01767450823551332
119,1638349200000,2021-12-01 18:00,short,0.007063485343504783,0.024737993579018104
120,1638352800000,2021-12-01 19:00,long,-0.008529128330956958,0.016208865248061144
121,1638381600000,2021-12-02 03:00,short,0.013287970773153935,0.029496836021215077
122,1638403200000,2021-12-02 09:00,long,-0.006673233251376453,0.022823602769838622
123,1638428400000,2021-12-02 16:00,short,0.000703631134512573,0.023527233904351196
124,1638468000000,2021-12-03 03:00,long,-0.030855410773026757,-0.007328176868675561
125,1638482400000,2021-12-03 07:00,short,0.05953297794480585,0.05220480107613029
126,1638493200000,2021-12-03 10:00,long,-0.06354393579471504,-0.011339134718584748
127,1638518400000,2021-12-03 17:00,short,0.15973384121455017,0.14839470649596542
128,1638525600000,2021-12-03 19:00,long,-0.16717727497284615,-0.01878256847688073
129,1638529200000,2021-12-03 20:00,short,0.18263480547176017,0.16385223699487944
130,1638716400000,2021-12-06 00:00,long,0.023782503398515866,0.1876347403933953
131,1638770400000,2021-12-06 15:00,short,-0.06088111418425233,0.126753626209143
132,1638802800000,2021-12-07 00:00,long,0.05505324007402126,0.18180686628316425
133,1638824400000,2021-12-07 06:00,short,-0.007810687704777974,0.17399617857838628
134,1638982800000,2021-12-09 02:00,short,0.0398908567541806,0.2138870353325669
135,1639015200000,2021-12-09 11:00,long,-0.02824378928309543,0.18564324604947147
136,1639148400000,2021-12-11 00:00,short,-0.01687748254708574,0.16876576350238573
137,1639162800000,2021-12-11 04:00,long,0.006396555546652883,0.17516231904903862
138,1639177200000,2021-12-11 08:00,short,-0.04962816728496242,0.1255341517640762
139,1639180800000,2021-12-11 09:00,long,0.03176350330755042,0.15729765507162663
140,1639231200000,2021-12-11 23:00,short,-0.027817816508347446,0.1294798385632792
141,1639234800000,2021-12-12 00:00,long,0.018040223823476167,0.14752006238675536
142,1639245600000,2021-12-12 03:00,short,-0.036905189233867965,0.1106148731528874
143,1639310400000,2021-12-12 21:00,long,-0.018982980738917552,0.09163189241396985
144,1639382400000,2021-12-13 17:00,short,0.03130444778023802,0.12293634019420788
145,1639490400000,2021-12-14 23:00,short,-0.001291128749020797,0.12164521144518708
146,1639497600000,2021-12-15 01:00,long,0.0033828531897465383,0.12502806463493363
147,1639504800000,2021-12-15 03:00,short,-0.02432829184766092,0.10069977278727271
148,1639508400000,2021-12-15 04:00,long,0.037832899525534945,0.13853267231280766
149,1639562400000,2021-12-15 19:00,short,-0.020095359684462275,0.11843731262834539
150,1639612800000,2021-12-16 09:00,short,0.023559704249916182,0.14199701687826158
151,1639810800000,2021-12-18 16:00,short,-0.024848135065789288,0.1171488818124723
152,1639839600000,2021-12-19 00:00,long,0.006055166496256615,0.12320404830872891
153,1639922400000,2021-12-19 23:00,long,-0.027147795415355367,0.09605625289337355
154,1639926000000,2021-12-20 00:00,short,0.024835963594642598,0.12089221648801615
155,1639962000000,2021-12-20 10:00,long,0.004227169159620204,0.12511938564763636
156,1639965600000,2021-12-20 11:00,short,-0.005941701618376571,0.1191776840292598
157,1639980000000,2021-12-20 15:00,short,-0.04330804715471057,0.07586963687454923
158,1640026800000,2021-12-21 04:00,long,0.04245805635919155,0.11832769323374079
159,1640167200000,2021-12-22 19:00,short,0.012804700975894279,0.13113239420963507
160,1640185200000,2021-12-23 00:00,long,-0.002010993158604512,0.12912140105103057
161,1640631600000,2021-12-28 04:00,short,0.06843265836616377,0.19755405941719434
162,1640800800000,2021-12-30 03:00,short,-0.007511528693967628,0.19004253072322672
163,1640876400000,2021-12-31 00:00,short,0.011766072092391134,0.20180860281561785
164,1640991600000,2022-01-01 08:00,long,0.03217825450915148,0.23398685732476934
165,1641020400000,2022-01-01 16:00,short,-0.0010763932484108888,0.23291046407635846
166,1641106800000,2022-01-02 16:00,long,-0.0028067433617416696,0.2301037207146168
167,1641114000000,2022-01-02 18:00,short,0.0056024930435852,0.235706213758202
168,1641135600000,2022-01-03 00:00,long,-0.014912586501447866,0.22079362725675414
169,1641146400000,2022-01-03 03:00,short,0.010476833083702642,0.23127046034045678
