scenario_id,desc,threshold,mode,hold_hours,cost,trend_filter,n,win_rate,avg,median,std,sum,max_drawdown
S6_alt_4h_th018,Alternating threshold=0.18 hold=4h cost=0.08%,0.18,alternating,4,0.0008,none,213,0.5117370892018779,0.0005970665289016996,0.00037103115983119284,0.02060072769610443,0.12717517065606201,-0.3151725868999836
S1_alt_flat_48h_th007,Alternating + flat filter(|24h mom|<=2%) threshold=0.07 hold=48h cost=0.08%,0.07,alternating,48,0.0008,0.02,812,0.49137931034482757,0.0005445381886087033,-0.0009691664412678539,0.043810186799175074,0.44216500915026713,-0.7124385768377006
S3_alt_flat_4h_th009,Alternating + flat filter threshold=0.09 hold=4h cost=0.08%,0.09,alternating,4,0.0008,0.02,485,0.4762886597938144,0.00030676210137241407,-0.0007373802984272697,0.012997643303478674,0.14877961916562082,-0.19314921870992674
S2_alt_flat_24h_th007,Alternating + flat filter threshold=0.07 hold=24h cost=0.08%,0.07,alternating,24,0.0008,0.02,812,0.4839901477832512,0.00015139885433519898,-0.0012597513911203665,0.030661184925550596,0.12293586972018158,-0.6234568737285647
S5_raw_24h_th014,Raw threshold=0.14 hold=24h cost=0.08%,0.14,raw,24,0.0008,none,670,0.48208955223880595,0.0001368685478534822,-0.001055600054327898,0.04231609293956137,0.09170192706183308,-0.6019327750205364
S4_raw_flat_48h_th00988,Raw + flat filter threshold=0.0988 hold=48h cost=0.08%,0.0988,raw,48,0.0008,0.02,663,0.497737556561086,8.870466457917721e-05,-0.0002652976219305929,0.044515188184438045,0.05881119261599449,-0.7683183419987202
S0_baseline_raw_4h,Baseline raw threshold=0.0988 hold=4h cost=0.08%,0.0988,raw,4,0.0008,none,1386,0.4668109668109668,-0.000859168608732794,-0.000790378288242443,0.016412569424739086,-1.1908076917036525,-0.8087942119742457
