scenario_id,year,n,avg,win_rate,sum
S0_baseline_raw_4h,2021,273,0.0002318328342237534,0.4908424908424908,0.06329036374308468
S0_baseline_raw_4h,2022,566,-0.000853978051622174,0.4664310954063604,-0.4833515772181505
S0_baseline_raw_4h,2023,103,-0.0008859116570138261,0.44660194174757284,-0.0912489006724241
S0_baseline_raw_4h,2024,224,-0.001313600313639953,0.45089285714285715,-0.2942464702553495
S0_baseline_raw_4h,2025,181,-0.0017372555754589499,0.4696132596685083,-0.3144432591580699
S0_baseline_raw_4h,2026,39,-0.0018155858498139761,0.4358974358974359,-0.07080784814274507
S1_alt_flat_48h_th007,2021,164,0.0019200126875536239,0.524390243902439,0.3148820807587943
S1_alt_flat_48h_th007,2022,327,-0.0003632832672821924,0.4709480122324159,-0.11879362840127691
S1_alt_flat_48h_th007,2023,71,-0.0007025661921406981,0.4647887323943662,-0.04988219964198956
S1_alt_flat_48h_th007,2024,136,0.00019363698536140864,0.4852941176470588,0.026334630009151577
S1_alt_flat_48h_th007,2025,99,0.0006781371027436327,0.5252525252525253,0.06713557317161964
S1_alt_flat_48h_th007,2026,15,0.013499236883597925,0.5333333333333333,0.2024885532539689
S2_alt_flat_24h_th007,2021,164,0.0014267491300290814,0.5,0.23398685732476934
S2_alt_flat_24h_th007,2022,327,-0.0004059327896776837,0.4740061162079511,-0.13274002222460257
S2_alt_flat_24h_th007,2023,71,0.00024910584957941887,0.4647887323943662,0.01768651532013874
S2_alt_flat_24h_th007,2024,136,-0.0019150594796058125,0.4485294117647059,-0.2604480892263905
S2_alt_flat_24h_th007,2025,99,0.0022540916814094217,0.5454545454545454,0.22315507645953273
S2_alt_flat_24h_th007,2026,15,0.0027530354711156504,0.5333333333333333,0.04129553206673476
S3_alt_flat_4h_th009,2021,112,-0.0001676634667494429,0.45535714285714285,-0.018778308275937607
S3_alt_flat_4h_th009,2022,206,0.0015270937826545863,0.5,0.3145813192268448
S3_alt_flat_4h_th009,2023,33,-0.0016034746018572744,0.45454545454545453,-0.052914661861290055
S3_alt_flat_4h_th009,2024,72,-2.793677844066523e-05,0.5,-0.0020114480477278966
S3_alt_flat_4h_th009,2025,55,-0.0013620345758757683,0.43636363636363634,-0.07491190167316726
S3_alt_flat_4h_th009,2026,7,-0.00245505431472855,0.2857142857142857,-0.01718538020309985
S4_raw_flat_48h_th00988,2021,134,0.0050499257180923315,0.5373134328358209,0.6766900462243725
S4_raw_flat_48h_th00988,2022,272,8.835888661635283e-05,0.5073529411764706,0.02403361715964797
S4_raw_flat_48h_th00988,2023,55,0.0004902366961767832,0.43636363636363634,0.026963018289723077
S4_raw_flat_48h_th00988,2024,106,-0.0023528781654288664,0.4811320754716981,-0.24940508553545984
S4_raw_flat_48h_th00988,2025,85,-0.0038808369179215768,0.4823529411764706,-0.329871138023334
S4_raw_flat_48h_th00988,2026,11,-0.008145387772631575,0.36363636363636365,-0.08959926549894733
S5_raw_24h_th014,2021,129,-0.0005656970191451117,0.49612403100775193,-0.0729749154697194
S5_raw_24h_th014,2022,292,0.0008313681739054111,0.4863013698630137,0.24275950678038002
S5_raw_24h_th014,2023,43,-0.0038285652152198557,0.4418604651162791,-0.1646283042544538
S5_raw_24h_th014,2024,109,0.0033896258198526023,0.5321100917431193,0.36946921436393365
S5_raw_24h_th014,2025,81,-0.002924219897208473,0.41975308641975306,-0.2368618116738863
S5_raw_24h_th014,2026,16,-0.002878860167776273,0.375,-0.04606176268442037
S6_alt_4h_th018,2021,47,0.002319768765899894,0.5106382978723404,0.10902913199729503
S6_alt_4h_th018,2022,106,-0.0003217046540247972,0.4811320754716981,-0.0341006933266285
S6_alt_4h_th018,2023,15,-0.001944921135469506,0.4666666666666667,-0.02917381703204259
S6_alt_4h_th018,2024,23,0.0017340218170126876,0.5217391304347826,0.03988250179129182
S6_alt_4h_th018,2025,19,0.0010828589329421729,0.631578947368421,0.020574319725901284
S6_alt_4h_th018,2026,3,0.006987909166748726,1.0,0.02096372750024618
