scenario_id,n,avg,ci05,ci95,prob_mean_gt_0
S0_baseline_raw_4h,1386,-0.000859168608732794,-0.0016035390379982458,-0.0001371664180041247,0.0212
S1_alt_flat_48h_th007,812,0.0005445381886087033,-0.0018446442093151723,0.0030650296334258447,0.664
S2_alt_flat_24h_th007,812,0.00015139885433519898,-0.001591764519591416,0.001954407265467523,0.5708
S3_alt_flat_4h_th009,485,0.00030676210137241407,-0.0006784408490669818,0.0012447719934350551,0.6912
S4_raw_flat_48h_th00988,663,8.870466457917721e-05,-0.002873283969963833,0.002932636221477483,0.5224
S5_raw_24h_th014,670,0.0001368685478534822,-0.002572357944226997,0.002901345085121027,0.5244
S6_alt_4h_th018,213,0.0005970665289016996,-0.0018513184975675696,0.002952530755113871,0.662
