scenario_id,desc,n,win_rate,avg,median,std,sum,mdd,ci05,ci95,prob_mean_gt_0,maker_ratio,size_model,initial_capital,final_capital,total_return_pct
V3D_blend80_volTarget,80% maker blended cost + vol target sizing,289,0.4463667820069204,0.002447526847078289,-0.013224629084769533,0.02995522374056685,0.7073352588056254,-0.2170540229359429,-0.0005312980051800222,0.005266801607968218,0.9148,0.8,vol_target,10000.0,17835.15320182079,0.783515320182079
V3E_blend50_volTarget_tightSL,50% maker blended cost + vol target sizing + tighter SL,289,0.4083044982698962,0.001929945279108528,-0.014874850902689779,0.028347187235299318,0.5577541856623646,-0.27706231220017796,-0.0008488364597624234,0.004685842593466845,0.8704,0.5,vol_target,10000.0,15571.098294104426,0.5571098294104426
V3C_blend80_fixed,"80% maker blended cost, fixed size",289,0.4463667820069204,0.0018146483438018048,-0.012423364568784278,0.018722902209242012,0.5244333713587216,-0.12431563445557603,-3.2265435740061915e-05,0.003613180779680371,0.9456,0.8,fixed,10000.0,16060.757742945292,0.6060757742945293
V3B_blend50_fixed,"50% maker blended cost, fixed size",289,0.4463667820069204,0.0016646483438018127,-0.012573364568784278,0.018722902209242012,0.48108337135872387,-0.12826545332079475,-0.00018226543574005174,0.0034631807796803495,0.9312,0.5,fixed,10000.0,15380.326465088729,0.538032646508873
V3A_taker_fixed,"taker-only cost, fixed size",289,0.43944636678200694,0.0014146483438018088,-0.012823364568784279,0.018722902209242012,0.4088333713587227,-0.1348102439949843,-0.000432265435740059,0.0032131807796803545,0.8984,0.0,fixed,10000.0,14309.523209219014,0.4309523209219015
