trade_no,timestamp,timestamp_kst,direction,gross_return,size,cost,net_return,pnl_amount,capital_before,capital_after,exit_type,exit_timestamp
102,1651759200000,2022-05-05 23:00,short,0.03136165553515513,1.0,0.00055,0.030811655535155132,292.09857677564133,9480.132492146227,9772.231068921868,tp,1651762800000
103,1652558400000,2022-05-15 05:00,short,-0.013598915352961205,1.0,0.00055,-0.014148915352961205,-138.2664702037531,9772.231068921868,9633.964598718116,sl,1652564700000
104,1652680800000,2022-05-16 15:00,long,-0.01486805061308738,1.0,0.00055,-0.01541805061308738,-148.53695378772795,9633.964598718116,9485.427644930387,sl,1652682000000
105,1652896800000,2022-05-19 03:00,long,0.027179351573882515,1.0,0.00055,0.026629351573882517,252.59078758547574,9485.427644930387,9738.018432515863,tp,1652965800000
106,1653325200000,2022-05-24 02:00,short,0.029002973003929067,1.0,0.00055,0.02845297300392907,277.0755755721375,9738.018432515863,10015.094008088,tp,1653333600000
107,1653508800000,2022-05-26 05:00,short,0.02546365508352466,1.0,0.00055,0.024913655083524663,249.51259774657896,10015.094008088,10264.606605834579,tp,1653568500000
108,1653573600000,2022-05-26 23:00,long,0.025170165595013616,1.0,0.00055,0.024620165595013618,252.716314403318,10264.606605834579,10517.322920237897,tp,1653582000000
109,1653663600000,2022-05-28 00:00,short,-0.013114616941282353,1.0,0.00055,-0.013664616941282353,-143.71518895281997,10517.322920237897,10373.607731285078,sl,1653743700000
110,1653750000000,2022-05-29 00:00,short,-0.01229113889004263,1.0,0.00055,-0.01284113889004263,-133.2089376682517,10373.607731285078,10240.398793616825,sl,1653825900000
111,1654452000000,2022-06-06 03:00,long,0.026570237142776287,1.0,0.00055,0.02602023714277629,266.45760504651,10240.398793616825,10506.856398663334,tp,1654480200000
112,1654776000000,2022-06-09 21:00,short,0.01000668101848412,1.0,0.00055,0.00945668101848412,99.35998946917798,10506.856398663334,10606.216388132512,timeout,1654862400000
113,1655046000000,2022-06-13 00:00,short,-0.012098667275857178,1.0,0.00055,-0.012648667275857178,-134.15450214923183,10606.216388132512,10472.061885983281,sl,1655046900000
114,1655323200000,2022-06-16 05:00,long,0.026939737149680898,1.0,0.00055,0.0263897371496809,276.3549605862904,10472.061885983281,10748.416846569571,tp,1655329800000
115,1655470800000,2022-06-17 22:00,short,0.05216010611132493,1.0,0.00055,0.05161010611132493,554.7269339802081,10748.416846569571,11303.143780549779,tp,1655535000000
116,1655503200000,2022-06-18 07:00,short,0.04775788406311632,1.0,0.00055,0.047207884063116316,533.5975011409282,11303.143780549779,11836.741281690707,tp,1655535000000
117,1656414000000,2022-06-28 20:00,short,0.02792122141628761,1.0,0.00055,0.027371221416287613,323.9860664684684,11836.741281690707,12160.727348159176,tp,1656439800000
