scenario_id,n,avg,p05_trade,p95_trade,worst_trade,best_trade,max_losing_streak,roll20_p05,roll20_worst,month_p05,month_worst
V3D_blend80_volTarget,289,0.002447526847078289,-0.03013132911005424,0.051126305535580764,-0.044458547356129585,0.06447115453165161,9,-0.10739729379786248,-0.18631804043418493,-0.09452810253835349,-0.13704168574766942
V3C_blend80_fixed,289,0.0018146483438018048,-0.01771938788123877,0.029369228392129697,-0.02469919297562755,0.051760106111324936,9,-0.05990827563526442,-0.11882368514387373,-0.06133713786778924,-0.08361675719692375
V3A_taker_fixed,289,0.0014146483438018088,-0.018119387881238767,0.0289692283921297,-0.025099192975627547,0.05136010611132493,9,-0.06790827563526441,-0.1268236851438737,-0.06413713786778924,-0.08881675719692374
