trade_no,timestamp,timestamp_kst,direction,gross_return,size,cost,net_return,pnl_amount,capital_before,capital_after,exit_type,exit_timestamp
1,1628604000000,2021-08-10 23:00,short,-0.013748149687641709,1.5127072710879188,0.00039999999999999996,-0.02140200890493588,-214.0200890493588,10000.0,9785.979910950642,sl,1628663100000
2,1628841600000,2021-08-13 17:00,long,0.025767146731129342,1.4243389604450938,0.00039999999999999996,0.03613141540447493,353.58130530240425,9785.979910950642,10139.561216253047,tp,1628885100000
3,1628949600000,2021-08-14 23:00,short,-0.012735261070268677,1.4057315288598642,0.00039999999999999996,-0.018464650626282244,-187.22345536191398,10139.561216253047,9952.337760891132,sl,1628970300000
4,1629025200000,2021-08-15 20:00,long,0.026893774791107328,1.8,0.00039999999999999996,0.04768879462399319,474.61499150774944,9952.337760891132,10426.952752398882,tp,1629065100000
5,1629147600000,2021-08-17 06:00,short,-0.012001871420785681,1.625055281396836,0.00039999999999999996,-0.020153726651552253,-210.14195558049747,10426.952752398882,10216.810796818385,sl,1629171000000
6,1629190800000,2021-08-17 18:00,long,-0.013445664364310494,1.7424663853116857,0.00039999999999999996,-0.024125604737118927,-246.48673895796944,10216.810796818385,9970.324057860416,sl,1629216000000
7,1629226800000,2021-08-18 04:00,long,-0.014725014066831688,1.7341869730945503,0.00039999999999999996,-0.02622960236257134,-261.5176354636574,9970.324057860416,9708.80642239676,sl,1629230700000
8,1629331200000,2021-08-19 09:00,long,-0.012632962802212933,1.6054866621339414,0.00039999999999999996,-0.02092424794704066,-203.1494728520506,9708.80642239676,9505.65694954471,sl,1629342300000
9,1629964800000,2021-08-26 17:00,short,-0.013161720975490843,1.2068128137076815,0.00039999999999999996,-0.016366458649150584,-155.57394139773436,9505.65694954471,9350.083008146976,sl,1629987000000
10,1630411200000,2021-08-31 21:00,long,-0.012499977840246923,1.4098403445765608,0.00039999999999999996,-0.01818690920332372,-170.04911071270897,9350.083008146976,9180.033897434267,sl,1630421700000
11,1630659600000,2021-09-03 18:00,long,0.003833486447931911,1.566483250632653,0.00039999999999999996,0.005378499011959541,49.3748032471053,9180.033897434267,9229.408700681372,timeout,1630746000000
12,1630753200000,2021-09-04 20:00,short,-0.005027695778238028,1.8,0.00039999999999999996,-0.009769852400828451,-90.16996075257889,9229.408700681372,9139.238739928793,timeout,1630839600000
13,1630825200000,2021-09-05 16:00,long,0.03333433273826936,1.8,0.00039999999999999996,0.05928179892888485,541.7905133435336,9139.238739928793,9681.029253272327,tp,1630875000000
14,1631494800000,2021-09-13 10:00,short,0.0314267685095968,1.7475693225966946,0.00039999999999999996,0.054221428826680546,524.9192386253178,9681.029253272327,10205.948491897645,tp,1631505300000
15,1631815200000,2021-09-17 03:00,short,-0.01204081407278812,1.8,0.00039999999999999996,-0.022393465331018613,-228.54655372347162,10205.948491897645,9977.401938174173,sl,1631854800000
16,1632063600000,2021-09-20 00:00,long,-0.014417004202054273,1.8,0.00039999999999999996,-0.02667060756369769,-266.1033715983201,9977.401938174173,9711.298566575853,sl,1632091500000
17,1632222000000,2021-09-21 20:00,short,0.027560852887668408,0.9194586576431257,0.00039999999999999996,0.024973281336538013,242.52299124621712,9711.298566575853,9953.82155782207,tp,1632244800000
18,1633287600000,2021-10-04 04:00,long,-0.016339627283363467,1.8,0.00039999999999999996,-0.03013132911005424,-299.92187326148957,9953.82155782207,9653.89968456058,sl,1633295100000
19,1633683600000,2021-10-08 18:00,long,-0.012145922550472421,1.437430695015783,0.00039999999999999996,-0.018033894171339757,-174.09740525209574,9653.89968456058,9479.802279308484,sl,1633695000000
20,1634814000000,2021-10-21 20:00,short,0.03251629782401477,1.3391790897216074,0.00039999999999999996,0.04300947448519214,407.72131425658455,9479.802279308484,9887.523593565069,tp,1634826000000
21,1635080400000,2021-10-24 22:00,long,-0.012325476005734526,1.8,0.00039999999999999996,-0.022905856810322145,-226.48219964288333,9887.523593565069,9661.041393922185,sl,1635091200000
22,1635649200000,2021-10-31 12:00,short,0.025453390774379137,1.8,0.00039999999999999996,0.045096103393882446,435.67532159289306,9661.041393922185,10096.716715515078,tp,1635684600000
23,1635966000000,2021-11-04 04:00,long,-0.012757842331654556,1.8,0.00039999999999999996,-0.0236841161969782,-239.13181189823118,10096.716715515078,9857.584903616847,sl,1635989400000
24,1636038000000,2021-11-05 00:00,short,-0.013075067637136728,1.8,0.00039999999999999996,-0.02425512174684611,-239.09692196709892,9857.584903616847,9618.487981649749,sl,1636092300000
25,1636250400000,2021-11-07 11:00,long,0.025967978648231194,1.8,0.00039999999999999996,0.046022361566816154,442.6655316175605,9618.487981649749,10061.153513267309,tp,1636329900000
26,1636664400000,2021-11-12 06:00,short,0.025494766695928206,1.552297363796367,0.00039999999999999996,0.03895454018717422,391.9276088619005,10061.153513267309,10453.08112212921,tp,1636730100000
27,1636747200000,2021-11-13 05:00,short,-0.012718448477892386,1.8,0.00039999999999999996,-0.023613207260206295,-246.8307710445868,10453.08112212921,10206.250351084624,sl,1636815300000
28,1637168400000,2021-11-18 02:00,long,-0.012179734563897093,1.263160109057721,0.00039999999999999996,-0.015890218883649432,-162.17955206005854,10206.250351084624,10044.070799024565,sl,1637222700000
29,1637413200000,2021-11-20 22:00,short,-0.01245825489343333,1.8,0.00039999999999999996,-0.023144858808179992,-232.46860050278715,10044.070799024565,9811.602198521778,sl,1637433000000
30,1637463600000,2021-11-21 12:00,short,-0.014051756126173931,1.4777625394988387,0.00039999999999999996,-0.021356263833232688,-209.53916517835697,9811.602198521778,9602.06303334342,sl,1637513400000
31,1637496000000,2021-11-21 21:00,long,-0.015286891508855427,1.4479330286038823,0.00039999999999999996,-0.022713568331797565,-218.09711483407318,9602.06303334342,9383.965918509348,sl,1637543700000
32,1637586000000,2021-11-22 22:00,long,0.032825956911895826,1.8,0.00039999999999999996,0.05836672244141249,547.7113341653095,9383.965918509348,9931.677252674657,tp,1637588100000
