scenario_id,riskoff_roll20,riskoff_month,stop_roll20,stop_month,resume_roll20,resume_month,max_losing_streak,stop_losing_streak
V3C_blend80_fixed,-0.0599,-0.0613,-0.0894,-0.0725,-0.03,-0.0307,9,10
V3D_blend80_volTarget,-0.1074,-0.0945,-0.1469,-0.1158,-0.0537,-0.0473,9,10
